question,answer,description,type
Identify the error: 'The cat sleep on the mat.','sleep' should be 'sleeps',Use 'sleeps' with singular subjects.,Verbal
Choose the correct word: 'The ___ of the meeting was decided.',agenda,'Agenda' refers to the list of topics.,Verbal
What is the synonym of 'candid'?,Honest,'Candid' means truthful or straightforward.,Verbal
Identify the error: 'She didn't knew the answer.','knew' should be 'know',Use base form after 'didn't'.,Verbal
What is the synonym of 'verbose'?,Wordy,'Verbose' means using more words than necessary.,Verbal
Identify the error: 'Each of the students are present.','are' should be 'is','Each' takes a singular verb.,Verbal
Choose the correct form: 'The team ___ celebrating the win.',is,'Team' is singular and takes 'is'.,Verbal
Identify the error: 'The information are correct.','are' should be 'is','Information' is uncountable and takes 'is'.,Verbal
What is the antonym of 'prudent'?,Reckless,'Prudent' means cautious  while 'reckless' is the opposite.,Verbal
Choose the correct word: 'The dog ___ barking loudly.',was,'Was' is used with singular subjects in past continuous tense.,Verbal
What is the synonym of 'lucid'?,Clear,'Lucid' means easy to understand.,Verbal
Identify the error: 'The scissors is missing.','is' should be 'are','Scissors' is plural and takes 'are'.,Verbal
Choose the correct form: 'The group ___ planning a trip.',is,'Group' is singular and takes 'is'.,Verbal
Identify the error: 'The child enjoy playing.','enjoy' should be 'enjoys',Use 'enjoys' with singular subjects.,Verbal
Choose the correct word: 'The manager was ___ by the results.',pleased,'Pleased' means satisfied or content.,Verbal
What is the synonym of 'meticulous'?,Thorough,'Meticulous' means showing great attention to detail.,Verbal
Identify the error: 'The boy play in the park.','play' should be 'plays',Use 'plays' with singular subjects.,Verbal
Choose the correct word: 'She was ___ with joy.',overwhelmed,'Overwhelmed' means deeply affected by emotions.,Verbal
Choose the correct form: 'The committee ___ divided on the issue.',is,'Committee' is singular and takes 'is'.,Verbal
Choose the correct word: 'The speech was ___ moving.',truly,'Truly' is used to emphasize the sincerity.,Verbal
What is the synonym of 'impeccable'?,Flawless,'Impeccable' means perfect or without fault.,Verbal
Identify the error: 'She did not went to the party.','went' should be 'go',Use base form after 'did'.,Verbal
What is the antonym of 'mundane'?,Extraordinary,'Mundane' means ordinary  while 'extraordinary' is the opposite.,Verbal
Choose the correct word: 'The performance was ___ impressive.',truly,'Truly' emphasizes the quality of the performance.,Verbal
What is the synonym of 'tenacious'?,Persistent,'Tenacious' means holding firmly or persistent.,Verbal
What is the synonym of 'sagacious'?,Wise,'Sagacious' means having keen perception and good judgment.,Verbal
Identify the error: 'She drive very fast.','drive' should be 'drives',Use 'drives' with singular subjects.,Verbal
Choose the correct form: 'The children ___ playing in the park.',are,'Children' is plural and takes 'are'.,Verbal
What is the synonym of 'erudite'?,Knowledgeable,'Erudite' means having or showing great knowledge.,Verbal
Identify the error: 'The boy go to school every day.','go' should be 'goes',Use 'goes' with singular subjects.,Verbal
What is the antonym of 'placid'?,Agitated,'Placid' means calm  while 'agitated' is the opposite.,Verbal
Choose the correct word: 'The painting was ___ beautiful.',truly,'Truly' is used to emphasize the beauty.,Verbal
What is the synonym of 'fallacy'?,Misconception,'Fallacy' means a mistaken belief.,Verbal
What is the antonym of 'gregarious'?,Unsociable,'Gregarious' means sociable  while 'unsociable' is the opposite.,Verbal
Choose the correct form: 'The audience ___ enjoying the show.',is,'Audience' is singular and takes 'is'.,Verbal
What is the synonym of 'nimble'?,Agile,'Nimble' means quick and light in movement.,Verbal
Identify the error: 'She sings good.','good' should be 'well',Use 'well' to describe how she sings.,Verbal
What is the antonym of 'liberal'?,Conservative,'Liberal' means open-minded  while 'conservative' is the opposite.,Verbal
Choose the correct word: 'She is ___ of making mistakes.',afraid,'Afraid' means fearful of something.,Verbal
What is the synonym of 'audacious'?,Bold,'Audacious' means daring or bold.,Verbal
Identify the error: 'The data are accurate.','are' should be 'is','Data' is singular in formal usage.,Verbal
What is the antonym of 'dormant'?,Active,'Dormant' means inactive  while 'active' is the opposite.,Verbal
Choose the correct form: 'The book ___ on the table.',is,'Book' is singular and takes 'is'.,Verbal
What is the synonym of 'congenial'?,Friendly,'Congenial' means pleasant and friendly.,Verbal
Identify the error: 'He drive very well.','drive' should be 'drives',Use 'drives' with singular subjects.,Verbal
What is the antonym of 'futile'?,Effective,'Futile' means pointless  while 'effective' is the opposite.,Verbal
Choose the correct word: 'She was ___ by the surprise gift.',delighted,'Delighted' means very pleased.,Verbal
Identify the error: 'The jury were divided.','were' should be 'was','Jury' is singular and takes 'was'.,Verbal
Choose the correct word: 'The player was ___ to win.',determined,'Determined' means firmly resolved.,Verbal
Identify the error: 'The dog chase the cat.','chase' should be 'chases',Use 'chases' with singular subjects.,Verbal
What is the antonym of 'optimistic'?,Pessimistic,'Optimistic' means hopeful  while 'pessimistic' is the opposite.,Verbal
Choose the correct word: 'The teacher gave a ___ explanation.',clear,'Clear' means easy to understand.,Verbal
Identify the error: 'The children was playing outside.','was' should be 'were',Use 'were' with plural subjects.,Verbal
Choose the correct word: 'The weather was ___ hot yesterday.',extremely,'Extremely' means very or highly.,Verbal
Identify the error: 'The student read the book quickly.',No error,The sentence is correct.,Verbal
Identify the error: 'The baby cry loudly.','cry' should be 'cries',Use 'cries' with singular subjects.,Verbal
Choose the correct word: 'The story was ___ interesting.',truly,'Truly' emphasizes the level of interest.,Verbal
Identify the error: 'The players was tired.','was' should be 'were',Use 'were' with plural subjects.,Verbal
What is the synonym of 'concur'?,Agree,'Concur' means to be of the same opinion or to agree.,Verbal
Identify the error: 'She go to work early.','go' should be 'goes',Use 'goes' with singular subjects.,Verbal
What is the antonym of 'augment'?,Reduce,'Augment' means to increase  while 'reduce' means to decrease.,Verbal
Choose the correct form: 'The dogs ___ barking loudly.',are,'Dogs' is plural and takes 'are'.,Verbal
Identify the error: 'The boy go home early.','go' should be 'goes',Use 'goes' with singular subjects.,Verbal
What is the antonym of 'profound'?,Superficial,'Profound' means deep  while 'superficial' means shallow.,Verbal
Choose the correct word: 'The movie was ___ boring.',extremely,'Extremely' emphasizes the level of boredom.,Verbal
What is the synonym of 'impartial'?,Unbiased,'Impartial' means treating all sides equally.,Verbal
Identify the error: 'The news are good.','are' should be 'is','News' is singular and takes 'is'.,Verbal
Choose the correct form: 'The children ___ playing outside.',are,'Children' is plural and takes 'are'.,Verbal
What is the synonym of 'affluent'?,Wealthy,'Affluent' means having a lot of money or wealth.,Verbal
Identify the error: 'The car need fuel.','need' should be 'needs',Use 'needs' with singular subjects.,Verbal
What is the antonym of 'concise'?,Verbose,'Concise' means brief  while 'verbose' means wordy.,Verbal
Choose the correct word: 'The weather was ___ cold today.',very,'Very' intensifies the degree of coldness.,Verbal
What is the synonym of 'obsolete'?,Outdated,'Obsolete' means no longer in use or outdated.,Verbal
Identify the error: 'The girl dance gracefully.','dance' should be 'dances',Use 'dances' with singular subjects.,Verbal
What is the antonym of 'reluctant'?,Willing,'Reluctant' means unwilling  while 'willing' is the opposite.,Verbal
Choose the correct word: 'The speech was ___ inspiring.',truly,'Truly' emphasizes the inspiring nature.,Verbal
Identify the error: 'The students was late.','was' should be 'were',Use 'were' with plural subjects.,Verbal
Choose the correct word: 'The storm was ___ violent.',extremely,'Extremely' emphasizes the intensity.,Verbal
What is the synonym of 'surmise'?,Guess,'Surmise' means to suppose or guess.,Verbal
Identify the error: 'She have a car.','have' should be 'has',Use 'has' with singular subjects.,Verbal
Identify the error: 'The teacher give homework daily.','give' should be 'gives',Use 'gives' with singular subjects.,Verbal
Choose the correct word: 'The manager was ___ with the results.',pleased,'Pleased' means satisfied or content.,Verbal
Choose the correct word: 'The performance was ___ remarkable.',truly,'Truly' emphasizes the level of remarkability.,Verbal
What is the synonym of 'abate'?,Lessen,'Abate' means to reduce in amount or intensity.,Verbal
Identify the error: 'He play football every day.','play' should be 'plays',Use 'plays' with singular subjects.,Verbal
What is the antonym of 'revere'?,Despise,'Revere' means to respect deeply  while 'despise' means to hate.,Verbal
Choose the correct form: 'The boy ___ studying in his room.',is,'Boy' is singular and takes 'is'.,Verbal
What is the synonym of 'coherent'?,Logical,'Coherent' means clear and logical.,Verbal
Identify the error: 'The flowers is blooming.','is' should be 'are','Flowers' is plural and takes 'are'.,Verbal
What is the antonym of 'relinquish'?,Retain,'Relinquish' means to give up  while 'retain' means to keep.,Verbal
Choose the correct word: 'The presentation was ___ impressive.',truly,'Truly' emphasizes the level of impressiveness.,Verbal
What is the synonym of 'transient'?,Temporary,'Transient' means lasting for a short time.,Verbal
Identify the error: 'The girl sing well.','sing' should be 'sings',Use 'sings' with singular subjects.,Verbal
What is the antonym of 'docile'?,Unruly,'Docile' means obedient  while 'unruly' is the opposite.,Verbal
What is the synonym of 'venerable'?,Respected,'Venerable' means worthy of respect.,Verbal
Identify the error: 'The dog bark loudly.','bark' should be 'barks',Use 'barks' with singular subjects.,Verbal
Choose the correct word: 'The lecture was ___ interesting.',very,'Very' intensifies the degree of interest.,Verbal
What is the synonym of 'pragmatic'?,Practical,'Pragmatic' means dealing with things practically.,Verbal
Identify the error: 'The birds was flying high.','was' should be 'were',Use 'were' with plural subjects.,Verbal
What is the antonym of 'meek'?,Bold,'Meek' means submissive  while 'bold' is the opposite.,Verbal
Choose the correct form: 'The students ___ preparing for the test.',are,'Students' is plural and takes 'are'.,Verbal
